License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location,License Group,Area,Major City
2504921,BREWER,101,D,Albany,2,ONONDAGA,ANHEUSER BUSCH LLC,ANHEUSER BUSCH,2885 BELGIUM ROAD,,BALDWINSVILLE,NY,13027,856116,3/4/1983,7/17/2014,6/30/2015,43.16538732,-76.31037514,"(43.16538732, -76.31037514)",Brewer,Upstate,Syracuse
3153235,BREWER,101,D,Buffalo,3,ONTARIO,CONSTELLATION BRANDS INC,CONSTELLATION BRANDS,116 BUFFALO ST,,CANANDAIGUA,NY,14424,834999,8/15/2014,8/15/2014,6/30/2015,42.8964164,-77.29376828,"(42.8964164, -77.29376828)",Brewer,Western,All Others
1010943,BREWER,101,D,New York City,1,KINGS,"BROOKLYN BREWERY CORP,THE",THE BROOKLYN BREWERY,79 N 11TH STREET,,BROOKLYN,NY,11211,829308,,7/1/2014,6/30/2015,40.72174011,-73.95797497,"(40.72174011, -73.95797497)",Brewer,NYC,NYC
3141489,BREWER,101,D,Buffalo,3,MONROE,HIGH FALLS OPERATING CO LLC/LICENSING CO LLC,GENESEE BREWING COMPANY,445 ST PAUL ST,,ROCHESTER,NY,14605,860326,2/27/2009,7/9/2014,6/30/2015,43.16493105,-77.61437097,"(43.16493105, -77.61437097)",Brewer,Western,Rochester
3155356,BREWER,101,D,Buffalo,3,CHAUTAUQUA,SOUTHERN TIER BREWING COMPANY LLC,SOUTHERN TIER BREWING COMPANY,2072 STONEMAN CIRCLE,,LAKEWOOD,NY,14750,847800,12/10/2014,12/10/2014,11/30/2015,42.0880611,-79.3512685,,Brewer,Western,All Others
3150600,BREWER,101,D,Buffalo,3,MONROE,MARK ANTHONY BREWING INC,MIKES HARD LEMONADE CO,445 ST PAUL ST,,ROCHESTER,NY,14605,862544,1/13/2012,11/24/2014,12/31/2015,43.16493105,-77.61437097,"(43.16493105, -77.61437097)",Office,Western,Rochester
2503534,BREWER,101,D,Albany,2,ONEIDA,MATT BREWING CO INC,F X MATT BREWING CO,811 EDWARD STREET,,UTICA,NY,13502,859578,,7/1/2014,6/30/2015,43.10350421,-75.24408062,"(43.10350421, -75.24408062)",Office,Upstate,All Others
2503535,BREWER,101,D,Albany,2,ONEIDA,"BROOKLYN BREWERY CORP,THE",BROOKLYN BREWERY,811 EDWARD STREET,,UTICA,NY,13502,829307,,7/1/2014,6/30/2015,43.10350421,-75.24408062,"(43.10350421, -75.24408062)",Brewer,Upstate,All Others
2187171,CIDER PRODUCER,304,CD,Albany,2,ORANGE,BROTHERHOOD AMERICA'S OLDEST WINERY LTD,"VINECREST, PROUD COUNTRY CELLAR, OPICI VINEYARDS",100 BROTHERHOOD PLAZA DR,,WASHINGTONVILLE,NY,10992,861776,12/14/2012,12/1/2014,11/30/2015,41.43067582,-74.16146684,"(41.43067582, -74.16146684)",Cider,NYC,All Others
1010797,CIDER PRODUCER,304,CD,New York City,1,KINGS,"BROOKLYN BREWERY CORP,THE",THE BROOKLYN BREWERY,79 N 11TH STREET,,BROOKLYN,NY,11249,829377,,7/1/2014,6/30/2015,40.72174011,-73.95797497,"(40.72174011, -73.95797497)",Cider,NYC,NYC
1273606,CIDER PRODUCER,304,CD,New York City,1,NEW YORK,PREMIUM INTERNATIONAL & DOMESTIC DISTRIBUTION LLC,PREMIUM INTERNATIONAL & DOMESTIC DISTRIBUTION,223 E 50TH ST,STE 5B,NEW YORK,NY,10022,863168,10/17/2013,1/13/2015,9/30/2015,40.75558428,-73.97021641,"(40.75558428, -73.97021641)",Cider,NYC,NYC
1276728,CIDER PRODUCER,304,CD,New York City,1,WESTCHESTER,HUGUENOT IMPORTERS INC,HUGUENOT IMPORTERS,73 CRESCENT AVE,1:00 AM,NEW ROCHELLE,NY,10801,834662,5/7/2014,5/7/2014,4/30/2015,40.90788,-73.78985,"(40.90788, -73.78985)",Cider,NYC,NYC
3154894,CIDER PRODUCER,304,CD,Buffalo,3,SCHUYLER,HAZLITTS 1852 VINEYARDS INC,HAZLITTS 1852 VINEYARDS,5712 RTE 414,,HECTOR,NY,14841,847660,7/3/2014,7/3/2014,6/30/2015,42.5101133,-76.8766878,,Cider,Western,All Others
2191400,CIDER PRODUCER,304,CD,Albany,2,DUTCHESS,POUGHKEEPSIE SPIRIT WORKS INC,POUGHKEEPSIE SPIRIT WORKS,16 HORNBECK RD,,POUGHKEEPSIE,NY,12603,860992,9/16/2013,9/1/2014,8/31/2015,41.71561036,-73.8625466,"(41.71561036, -73.8625466)",Cider,Upstate,All Others
